[[1, 0, 1, 0, 0, 0, (0, 0, 0)],
 [1, 0, 2, 82.80109882354736, 1.0, 7.280109882354736, (1, 0, 1)],
 [1, 0, 3, 83.24555397033691, 2.0, 6.324555397033691, (1, 0, 2)],
 [1, 0, 4, 83.85164737701416, 3.0, 5.385164737701416, (1, 0, 3)],
 [1, 0, 5, 84.721360206604, 4.0, 4.4721360206604, (1, 0, 4)],
 [1, 0, 6, 86.05551242828369, 5.0, 3.605551242828369, (1, 0, 5)],
 [0, 0, 2, 90.2998673915863, 1.4142135381698608, 7.6157732009887695, (1, 0, 1)],
 [2, 0, 1, 90.62257766723633, 1.0, 8.062257766723633, (1, 0, 1)],
 [0, 0, 3, 91.22417330741882, 2.414213538169861, 6.7082037925720215, (1, 0, 2)],
 [0, 0, 4, 92.45165228843689, 3.414213538169861, 5.830951690673828, (1, 0, 3)],
 [0, 0, 5, 94.14213538169861, 4.414213538169861, 5.0, (1, 0, 4)],
 [0, 0, 1, 95.44003486633301, 1.0, 8.5440034866333, (1, 0, 1)],
 [0, 0, 6, 96.56854033470154, 5.414213538169861, 4.242640495300293, (1, 0, 5)],
 [3, 0, 1, 100.0, 2.0, 8.0, (2, 0, 1)],
 [0, 0, 7, 100.1976478099823, 6.414213538169861, 3.605551242828369, (1, 0, 6)],
 [1, 0, 0, 102.19544410705566, 1.0, 9.219544410705566, (1, 0, 1)],
 [2, 0, 0, 104.6959912776947, 1.4142135381698608, 9.05538558959961, (1, 0, 1)],
 [4, 0, 2, 104.85281348228455, 3.414213538169861, 7.071067810058594, (3, 0, 1)],
 [4, 0, 3, 104.96976256370544, 4.414213538169861, 6.082762718200684, (4, 0, 2)],
 [4, 0, 4, 105.13233065605164, 5.414213538169861, 5.099019527435303, (4, 0, 3)],
 [4, 0, 5, 105.3731906414032, 6.414213538169861, 4.123105525970459, (4, 0, 4)],
 [0, 0, 8, 105.76491236686707, 7.414213538169861, 3.1622776985168457, (0, 0, 7)],
 [4, 0, 6, 105.76491236686707, 7.414213538169861, 3.1622776985168457, (4, 0, 5)],
 [4, 0, 7, 106.50281548500061, 8.41421353816986, 2.2360680103302, (4, 0, 6)],
 [3, 0, 3, 108.28427076339722, 4.828427076339722, 6.0, (4, 0, 2)],
 [3, 0, 4, 108.28427076339722, 5.828427076339722, 5.0, (4, 0, 3)],
 [3, 0, 5, 108.28427076339722, 6.828427076339722, 4.0, (4, 0, 4)],
 [1, 0, 9, 108.28427076339722, 8.828427076339722, 2.0, (0, 0, 8)],
 [4, 0, 8, 108.28427076339722, 9.41421353816986, 1.4142135381698608, (4, 0, 7)],
 [2, 0, 9, 108.28427076339722, 9.828427076339722, 1.0, (1, 0, 9)],
 [3, 0, 9, 108.28427076339722, 10.828427076339722, 0.0, (4, 0, 8)]]
